iter	Logloss
417	0.4256856336
418	0.4251990375
419	0.4250088827
420	0.4248256532
421	0.4243553387
422	0.4240360229
423	0.4236049467
424	0.4234040874
425	0.4232470955
426	0.4225917367
427	0.4217771013
428	0.4210683253
429	0.4209179031
430	0.4200691006
431	0.4199410773
432	0.4198672546
433	0.4194572385
434	0.4189948443
435	0.418858401
436	0.4180182085
437	0.4177942602
438	0.4170948941
439	0.4165087342
440	0.4160014224
441	0.4154342573
442	0.4148310381
443	0.4142452133
444	0.4140584528
445	0.413569359
446	0.4133700697
447	0.4130626623
448	0.4128527928
449	0.4122963693
450	0.4120969962
451	0.4120030383
452	0.4114502481
453	0.4109834119
454	0.4104408473
455	0.4103268584
456	0.4102520798
457	0.4098844817
458	0.4094106515
459	0.4087477131
460	0.408199986
461	0.4077384453
462	0.4076323872
463	0.4073926949
464	0.4072090602
465	0.4070010931
466	0.4066661482
467	0.4064401428
468	0.4063163551
469	0.4058115778
470	0.4053497409
471	0.4049603853
472	0.404671064
473	0.4041218853
474	0.403729462
475	0.4033047909
476	0.4026484211
477	0.4023255127
478	0.4017205436
479	0.401686586
480	0.4012065092
481	0.4008407255
482	0.4006496254
483	0.4003033545
484	0.3996187141
485	0.3988728895
486	0.3984273091
487	0.3976487796
488	0.3973707109
489	0.3969907617
490	0.3969527075
491	0.3966074457
492	0.3960706872
493	0.3954072011
494	0.3952049085
495	0.3948272281
496	0.3943034732
497	0.3938209578
498	0.3931453502
499	0.3929272645
500	0.3926365344
501	0.3922978399
502	0.3915346864
503	0.3908308095
504	0.3901499703
505	0.3896346201
506	0.3892372004
507	0.3888977494
508	0.3887346087
509	0.3884677075
510	0.3881549316
511	0.3875570939
512	0.3872671553
513	0.3865612423
514	0.3862547297
515	0.3859656346
516	0.3857408422
517	0.3852400223
518	0.3849155279
519	0.3844339026
520	0.3838745441
521	0.3834628038
522	0.3831364125
523	0.3824784071
524	0.3823996907
525	0.3822596409
526	0.3816507592
527	0.3813527676
528	0.3808901057
529	0.3806006196
530	0.3805172891
531	0.3799942942
532	0.3794757005
533	0.3790670479
534	0.3785495485
535	0.3781827309
536	0.3777057731
537	0.3771963701
538	0.3767503682
539	0.3765647176
540	0.376303322
541	0.3755968523
542	0.3749372327
543	0.3745599637
544	0.374334086
545	0.3742021044
546	0.3739026524
547	0.3732312597
548	0.3727515932
549	0.3723436914
550	0.3720419623
551	0.3717919414
552	0.3712125567
553	0.3704922228
554	0.370171724
555	0.369859703
556	0.3696052342
557	0.3692133469
558	0.3688413008
559	0.3684342798
560	0.3680282557
561	0.3676333159
562	0.3673924236
563	0.3671587912
564	0.3665820262
565	0.36613066
566	0.3653443451
567	0.3651499159
568	0.3648791095
569	0.3646518586
570	0.3639719629
571	0.363691301
572	0.3634701129
573	0.3631909439
574	0.3626912538
575	0.3623053688
576	0.3615259892
577	0.3614206082
578	0.3609892756
579	0.3603548896
580	0.3602100871
581	0.3599542174
582	0.3596812093
583	0.3595499598
584	0.3592205568
585	0.3588592875
586	0.3584318799
587	0.3578066188
588	0.3576793036
589	0.3574094937
590	0.3569798142
591	0.3560774265
592	0.3557180056
593	0.3551343678
594	0.3541209527
595	0.3537361727
596	0.3533222781
597	0.3528518653
598	0.3525637476
599	0.3519507414
600	0.3515418989
601	0.35105467
602	0.3504051719
603	0.3499236159
604	0.3494383734
605	0.3489385938
606	0.3482819031
607	0.3478453521
608	0.3474585224
609	0.3472117524
610	0.3468632569
611	0.3461254721
612	0.3456047952
613	0.3451972163
614	0.3450434639
615	0.344794166
616	0.3439950154
617	0.3434033599
618	0.3428855341
619	0.3424988262
620	0.3421144754
621	0.341631956
622	0.3413411027
623	0.3409102731
624	0.3405006882
625	0.3401810847
626	0.3398115895
627	0.3394128007
628	0.3387968451
629	0.3386127272
630	0.3381107612
631	0.3378185582
632	0.3374941724
633	0.3371719974
634	0.336773711
635	0.3363984581
636	0.3360030919
637	0.3358423135
638	0.3349437878
639	0.3347648452
640	0.3343184723
641	0.3338050084
642	0.3333326531
643	0.3329854522
644	0.3323025142
645	0.3319614956
646	0.3314867205
647	0.3312361904
648	0.3307493092
649	0.3302598923
650	0.3297031435
651	0.329197003
652	0.3288292779
653	0.3285066583
654	0.3278059
655	0.3273753474
656	0.3270240813
657	0.3265382909
658	0.3258833629
659	0.3256452944
660	0.3250622327
661	0.3244920222
662	0.3240262239
663	0.3237777066
664	0.3232427996
665	0.3228697378
666	0.3226093465
667	0.3222259385
668	0.3217641074
669	0.3210428074
670	0.3205948687
671	0.3200634921
672	0.3195223236
673	0.3192783196
674	0.3189323563
675	0.3183100234
676	0.3180412595
677	0.3176459681
678	0.3173629454
679	0.3171023597
680	0.3164576256
681	0.316155385
682	0.3156924763
683	0.3151710836
684	0.31467529
685	0.3141358798
686	0.3137302478
687	0.3131213563
688	0.3126085992
689	0.3121052148
690	0.3118396717
691	0.3113645168
692	0.3109507814
693	0.3104888552
694	0.3103168039
695	0.3097852539
696	0.3093172389
697	0.3088952477
698	0.3085964786
699	0.3082590915
700	0.3077850442
701	0.3074240574
702	0.3071864058
703	0.3066061128
704	0.3062473622
705	0.3059175285
706	0.3052980218
707	0.304818964
708	0.3045723329
709	0.3039359575
710	0.3038131276
711	0.3034062488
712	0.3030928104
713	0.30243332
714	0.3020369634
715	0.3017989065
716	0.301607526
717	0.3013147943
718	0.3007256239
719	0.3000494238
720	0.2996050245
721	0.2991448195
722	0.2987502355
723	0.2985310687
724	0.2980654728
725	0.2978838042
726	0.2976053781
727	0.2970122172
728	0.2966872104
729	0.2962729281
730	0.2961184307
731	0.2954347758
732	0.2949436085
733	0.2944546805
734	0.2941113037
735	0.293814405
736	0.2932725405
737	0.2926497562
738	0.2922545918
739	0.2917517035
740	0.2912187001
741	0.2907713095
742	0.2903974652
743	0.2896823724
744	0.2894736126
745	0.2890336788
746	0.2886133069
747	0.287821986
748	0.2874064739
749	0.2868921384
750	0.2866111691
751	0.2860398924
752	0.2856568436
753	0.2852952835
754	0.285169248
755	0.2845952551
756	0.2842106959
757	0.2837413122
758	0.283607758
759	0.2831201356
760	0.2825899704
761	0.281847494
762	0.2814227035
763	0.2810729179
764	0.2805295414
765	0.2799352433
766	0.2793386443
767	0.2785193898
768	0.278110909
769	0.2776517411
770	0.2772378369
771	0.2768991533
772	0.2764003941
773	0.2759160548
774	0.2755525691
775	0.2751314583
776	0.2748228729
777	0.2744042794
778	0.2740746488
779	0.2736624581
780	0.2734507156
781	0.2732684928
782	0.2729410742
783	0.2723759496
784	0.2721271869
785	0.2719277718
786	0.2716170721
787	0.2713200087
788	0.2710086576
789	0.2707190421
790	0.2703310027
791	0.2699610824
792	0.2693702554
793	0.2692529955
794	0.2690005953
795	0.2684697893
796	0.2681684416
797	0.2677178033
798	0.2671481405
799	0.2668764882
800	0.2667660904
801	0.2665175385
802	0.2660374422
803	0.2656541396
804	0.2652371934
805	0.2648483762
806	0.26445384
807	0.2642755647
808	0.2638614424
809	0.2635421004
810	0.263375263
811	0.2627725997
812	0.2624430571
813	0.2622139961
814	0.261752179
815	0.2612111802
816	0.2608901687
817	0.2605008599
818	0.2600866371
819	0.2596550343
820	0.2591962865
821	0.2589162392
822	0.2584885595
823	0.2581005407
824	0.2577926009
825	0.257520974
826	0.2572618399
827	0.2568410939
828	0.2565599447
829	0.2562881294
830	0.2558336687
831	0.2554463895
832	0.255199388
833	0.2550201336
834	0.2546780753
835	0.2542821062
836	0.2537604572
837	0.2533186278
838	0.2530197868
839	0.2526574841
840	0.2521484427
841	0.2516288453
842	0.2513595052
843	0.2508648196
844	0.2503276006
845	0.2500999217
846	0.2494630719
847	0.2491297938
848	0.2484859703
849	0.2479247762
850	0.2476631301
851	0.2472925813
852	0.2469322595
853	0.2465421356
854	0.2461424084
855	0.245929062
856	0.2453046334
857	0.2451920205
858	0.2448927178
859	0.2444686186
860	0.2441540176
861	0.2439091645
862	0.2435329442
863	0.2433935066
864	0.2431256556
865	0.2425470152
866	0.2422228467
867	0.2418848449
868	0.2416426386
869	0.2410511306
870	0.2405654138
871	0.2401610862
872	0.2396466246
873	0.2393512673
874	0.2387904273
875	0.2384793846
876	0.2379938818
877	0.2377415707
878	0.2375414978
879	0.2372251794
880	0.2369876347
881	0.2366771859
882	0.2364226933
883	0.2361180886
884	0.235622652
885	0.2351603099
886	0.2346223392
887	0.234221838
888	0.2339372495
889	0.2337300706
890	0.2334728414
891	0.2330153482
892	0.2324601006
893	0.2321515305
894	0.23197923
895	0.2315730433
896	0.2312427614
897	0.2307658885
898	0.2306303257
899	0.2303044437
900	0.2299447088
901	0.2295799497
902	0.229387722
903	0.2290532366
